"county_fips_code","year","area_deprivation_index_percent"
"05127",2019,93
"05129",2018,72
"05129",2019,74
"05131",2018,76
"05133",2018,94
"05133",2019,94
"05135",2018,85
"05135",2020,85
"05137",2020,87
"05139",2019,71
"05139",2020,72
"05141",2020,77
"05141",2018,75
"05145",2018,64
"05147",2018,94
"05149",2020,86
"05149",2019,87
"04001",2018,100
"04001",2020,99
"04001",2019,100
"04003",2020,59
"04003",2019,59
"04005",2019,53
"04007",2018,75
"04009",2018,79
"04011",2020,75
"04011",2019,73
"04012",2019,90
"04012",2020,93
"04013",2019,32
"04015",2020,69
"04017",2019,97
"04017",2020,97
"04019",2019,53
"04019",2018,53
"04021",2018,50
"04023",2019,92
"04023",2018,91
"04025",2018,33
"04027",2019,92
"06001",2020,3
"06005",2019,11
"06007",2018,49
"06007",2019,47
"06009",2019,9
"06011",2018,80
"06011",2020,80
"06011",2019,79
"06013",2019,3
"06013",2018,3
"06013",2020,3
"06015",2020,74
"06015",2019,75
"06017",2019,4
"06019",2020,90
"06019",2019,91
"06021",2020,84
"06025",2020,96
"06025",2019,96
"06027",2020,22
"06029",2020,90
"06033",2019,73
"06033",2020,69
"06037",2020,40
"06039",2020,87
"06039",2019,89
"06041",2020,1
"06043",2019,35
"06045",2020,52
"06045",2018,59
"06047",2020,96
"06049",2018,50
"06049",2020,54
"06049",2019,56
"06051",2018,12
"06051",2019,10
"06053",2020,59
"06053",2019,61
"06053",2018,66
"06055",2020,5
"06055",2018,6
"06059",2020,5
"06059",2019,5
"06059",2018,5
"06061",2018,2
"06063",2019,25
"06065",2018,44
"06065",2020,37
"06067",2019,31
"06069",2018,22
"06069",2020,13
"06071",2020,59
"06073",2019,9
"06075",2020,2
"06077",2018,66
"06077",2019,63
"06079",2020,5
"06081",2019,1
"06081",2018,1
"06083",2019,24
"06085",2019,1
"06087",2019,6
"06089",2020,37
"06091",2018,10
"06091",2019,15
"06093",2020,60
"06093",2019,63
"06095",2019,12
"06097",2018,7
"06101",2019,71
"06101",2018,69
"06103",2019,69
"06105",2019,63
"06105",2018,64
"06105",2020,66
"06107",2018,97
"06107",2020,96
"06109",2020,22
"06111",2019,5
"06111",2020,5
"06111",2018,5
"06113",2019,24
"06113",2020,23
"06115",2018,72
"08001",2019,28
"08003",2020,85
"08003",2019,90
"08005",2018,7
"08005",2019,7
"08007",2020,18
"08007",2018,18
"08007",2019,24
"08009",2020,71
"08009",2019,67
"08011",2020,87
"08013",2020,3
"08013",2019,3
"08014",2020,1
"08014",2019,1
"08015",2019,9
"08015",2018,9
"08017",2020,29
"08017",2018,25
"08017",2019,30
"08021",2020,88
"08023",2019,96
"08023",2018,97
"08025",2018,96
"08027",2019,48
"08027",2018,55
"08027",2020,35
"08029",2018,51
"08031",2020,17
"08031",2018,27
"08035",2019,1
"08037",2018,3
"08037",2019,3
"08039",2019,1
"08039",2018,1
"08043",2018,50
"08043",2019,44
"08043",2020,42
"08045",2018,18
"08047",2019,3
"08047",2020,2
"08053",2019,19
"08053",2018,18
"08055",2020,59
"08055",2018,61
"08055",2019,61
"08057",2019,36
"08061",2020,45
"08061",2018,36
"08063",2018,51
"08067",2020,5
"08069",2020,6
"08071",2020,68
"08073",2018,49
"08073",2019,39
"08075",2019,64
"08075",2020,57
"08075",2018,61
"08077",2020,34
"08077",2018,35
"08081",2020,47
"08081",2019,37
"08083",2018,48
"08083",2020,48
"08085",2018,47
"08085",2019,48
"08087",2019,64
"08089",2019,83
"08091",2018,4
"08091",2020,6
"08093",2018,4
"08097",2020,2
"08097",2019,2
"08097",2018,2
"08099",2020,81
"08101",2020,62
"08103",2020,28
"08105",2018,78
"08105",2020,84
"08109",2020,89
"08109",2018,85
"08109",2019,90
"08111",2020,20
"08113",2020,5
"08115",2020,56
"08115",2019,50
"08115",2018,49
"08117",2018,4
"08117",2020,4
"08121",2020,34
"08121",2019,33
"08123",2019,18
"08123",2018,21
"08123",2020,14
"08125",2020,62
"08125",2019,60
"08125",2018,53
"12001",2019,40
"12001",2018,38
"12003",2018,50
"12005",2019,40
"12007",2018,72
"12007",2020,76
"12007",2019,72
"12009",2018,25
"12009",2020,20
"12011",2018,27
"12011",2020,25
"12011",2019,26
"12013",2019,83
"12015",2019,28
"12015",2020,25
"12019",2018,15
"12021",2019,17
"12021",2020,16
"12021",2018,19
"12023",2018,62
"12027",2019,97
"12029",2019,89
"12031",2020,40
"12033",2019,33
"12033",2020,32
"12033",2018,33
"12035",2018,17
"12039",2018,87
"12039",2020,85
"12041",2020,67
"12043",2019,87
"12045",2019,45
"12047",2018,92
"12049",2020,96
"12049",2018,98
"12051",2018,99
"12051",2020,99
"12053",2018,45
"12053",2019,40
"12053",2020,42
"12055",2020,75
"12057",2020,35
"12057",2019,36
"12059",2018,85
"12059",2020,90
"12059",2019,86
"12063",2020,83
"12063",2018,87
"12065",2018,52
"12065",2019,52
"12065",2020,53
"12067",2019,89
"12073",2019,26
"12073",2020,25
"12075",2020,77
"12075",2019,79
"12075",2018,79
"12077",2018,79
"12077",2019,84
"12081",2019,25
"12081",2018,28
"12081",2020,23
"12083",2019,55
"12083",2018,56
"12085",2018,14
"12085",2019,12
"12085",2020,11
"12086",2020,66
"12087",2018,9
"12089",2018,16
"12089",2019,13
"12093",2020,90
"12095",2019,40
"12095",2018,41
"12097",2019,60
"12099",2018,21
"12099",2020,19
"12101",2018,32
"12103",2018,27
"12103",2020,23
"12107",2019,91
"12107",2020,89
"12107",2018,89
"12109",2019,4
"12111",2019,46
"12111",2018,49
"12113",2020,12
"12113",2019,14
"12115",2020,9
"12117",2018,9
"12119",2019,11
"12121",2018,87
"12121",2019,84
"12123",2020,87
"12123",2019,80
"12123",2018,80
"12125",2018,90
"12125",2019,91
"12127",2020,35
"12129",2018,35
"12133",2019,80
"13001",2019,94
"13001",2020,93
"13001",2018,92
"13003",2019,97
"13003",2018,98
"13005",2019,79
"13007",2019,74
"13009",2018,86
"13009",2019,85
"13011",2019,76
"13011",2020,74
"13013",2019,44
"13013",2020,44
"13015",2018,63
"13015",2019,54
"13017",2018,98
"13019",2018,92
"13019",2020,96
"13019",2019,94
"13023",2020,74
"13025",2018,81
"13027",2020,88
"13027",2019,87
"13029",2020,15
"13029",2018,19
"13031",2019,78
"13031",2018,78
"13033",2018,94
"13035",2020,73
"13035",2018,71
"13037",2019,98
"13037",2018,97
"13037",2020,98
"13039",2020,40
"13039",2018,34
"13043",2020,98
"13045",2018,70
"13047",2019,26
"13047",2018,33
"13047",2020,23
"13049",2020,90
"13051",2018,45
"13053",2018,72
"13055",2020,95
"13057",2019,6
"13057",2020,5
"13057",2018,6
"13059",2020,81
"13059",2019,82
"13063",2020,82
"13063",2019,83
"13065",2020,100
"13065",2019,99
"13067",2018,9
"13069",2020,92
"13071",2019,96
"13071",2020,96
"13073",2019,6
"13073",2018,7
"13079",2018,72
"13079",2019,74
"13079",2020,77
"13081",2019,97
"13081",2020,97
"13085",2018,14
"13085",2020,9
"13087",2018,92
"13087",2019,92
"13087",2020,92
"13089",2019,38
"13091",2018,90
"13091",2020,92
"13091",2019,88
"13093",2018,95
"13093",2020,94
"13095",2019,96
"13095",2020,96
"13095",2018,96
"13097",2019,32
"13099",2020,95
"13101",2018,97
"13103",2018,20
"13103",2019,18
"13105",2020,86
"13105",2019,87
"13107",2020,94
"13107",2019,95
"13111",2019,46
"13111",2018,52
"13115",2020,77
"13115",2018,80
"13119",2019,85
"13121",2018,16
"13121",2019,15
"13123",2019,68
"13123",2018,65
"13125",2020,79
"13127",2020,52
"13129",2020,85
"13129",2019,84
"13129",2018,87
"13135",2019,19
"13135",2018,20
"13139",2020,56
